host,guest,odds,result
洛杉矶快船,波特兰开拓者,-10.5,赢

迈阿密热火,芝加哥公牛,-1.5,输

密尔沃基雄鹿,新奥尔良鹈鹕,-4.5,输

丹佛掘金,金州勇士,6.5,输

萨克拉门托国王,洛杉矶湖人,-5.5,输

华盛顿奇才,克里夫兰骑士,7.5,输

费城76人,印第安纳步行者,4.5,赢

夏洛特黄蜂,多伦多猛龙,-1.5,输

奥兰多魔术,犹他爵士,4.5,输

波士顿凯尔特人,纽约尼克斯,-5.5,赢

俄克拉荷马雷霆,洛杉矶快船,4.5,赢

圣安东尼奥马刺,底特律活塞,-8.5,赢

波特兰开拓者,萨克拉门托国王,-6.5,输

印第安纳步行者,波士顿凯尔特人,0.0,输

新奥尔良鹈鹕,洛杉矶湖人,0.0,输

多伦多猛龙,纽约尼克斯,-7.5,赢

亚特兰大老鹰,费城76人,-14.5,赢

明尼苏达森林狼,洛杉矶快船,4.5,输

迈阿密热火,犹他爵士,1.5,输

芝加哥公牛,华盛顿奇才,-9.5,赢

休斯顿火箭,圣安东尼奥马刺,1.5,输

密尔沃基雄鹿,孟菲斯灰熊,-2.5,赢

丹佛掘金,底特律活塞,-4.5,输

菲尼克斯太阳,布鲁克林篮网队,-4.5,输

克里夫兰骑士,夏洛特黄蜂,-7.5,输

明尼苏达森林狼,洛杉矶湖人,-1.5,赢

俄克拉荷马雷霆,奥兰多魔术,-9.5,输

金州勇士,菲尼克斯太阳,-16.5,输

波特兰开拓者,丹佛掘金,-7.5,输

印第安纳步行者,奥兰多魔术,-7.5,赢

底特律活塞,俄克拉荷马雷霆,0.0,赢

纽约尼克斯,达拉斯独行侠,-3.5,赢

新奥尔良鹈鹕,波士顿凯尔特人,4.5,赢

休斯顿火箭,费城76人,-11.5,赢

圣安东尼奥马刺,迈阿密热火,-11.5,输

犹他爵士,孟菲斯灰熊,-6.5,输

洛杉矶快船,布鲁克林篮网队,-15.5,赢

克里夫兰骑士,多伦多猛龙,-5.5,输

迈阿密热火,亚特兰大老鹰,6.5,赢

明尼苏达森林狼,夏洛特黄蜂,0.0,输

波特兰开拓者,芝加哥公牛,-3.5,输

洛杉矶湖人,布鲁克林篮网队,-6.5,赢

印第安纳步行者,克里夫兰骑士,-1.5,赢

费城76人,华盛顿奇才,5.5,赢

奥兰多魔术,新奥尔良鹈鹕,-6.5,赢

波士顿凯尔特人,达拉斯独行侠,-6.5,赢

亚特兰大老鹰,密尔沃基雄鹿,-5.5,赢

纽约尼克斯,底特律活塞,-1.5,赢

多伦多猛龙,金州勇士,5.5,输

俄克拉荷马雷霆,休斯顿火箭,-1.5,赢

丹佛掘金,菲尼克斯太阳,-4.5,赢

萨克拉门托国王,圣安东尼奥马刺,5.5,赢

洛杉矶快船,孟菲斯灰熊,-12.5,输

华盛顿奇才,纽约尼克斯,-3.5,赢

迈阿密热火,密尔沃基雄鹿,-3.5,赢

休斯顿火箭,波特兰开拓者,-3.5,赢

明尼苏达森林狼,费城76人,-10.5,赢

犹他爵士,芝加哥公牛,-3.5,输

夏洛特黄蜂,亚特兰大老鹰,-2.5,赢

印第安纳步行者,菲尼克斯太阳,-4.5,输

克里夫兰骑士,底特律活塞,-8.5,赢

俄克拉荷马雷霆,布鲁克林篮网队,-9.5,赢

波士顿凯尔特人,金州勇士,7.5,输

新奥尔良鹈鹕,波特兰开拓者,1.5,赢

达拉斯独行侠,孟菲斯灰熊,2.5,输

丹佛掘金,多伦多猛龙,3.5,赢

萨克拉门托国王,洛杉矶快船,7.5,赢

洛杉矶湖人,圣安东尼奥马刺,7.5,输

休斯顿火箭,犹他爵士,-6.5,赢

华盛顿奇才,迈阿密热火,-4.5,输

新奥尔良鹈鹕,夏洛特黄蜂,3.5,赢

底特律活塞,波士顿凯尔特人,-1.5,输

奥兰多魔术,达拉斯独行侠,-7.5,赢

费城76人,菲尼克斯太阳,1.5,赢

孟菲斯灰熊,明尼苏达森林狼,1.5,赢

密尔沃基雄鹿,金州勇士,8.5,赢

洛杉矶快船,芝加哥公牛,-6.5,赢

纽约尼克斯,亚特兰大老鹰,3.5,赢

布鲁克林篮网队,波特兰开拓者,4.5,输

俄克拉荷马雷霆,印第安纳步行者,-9.5,输

丹佛掘金,犹他爵士,-3.5,赢

萨克拉门托国王,多伦多猛龙,3.5,赢

洛杉矶湖人,芝加哥公牛,0.0,输

费城76人,迈阿密热火,4.5,赢

印第安纳步行者,金州勇士,13.5,输

华盛顿奇才,菲尼克斯太阳,-8.5,输

夏洛特黄蜂,孟菲斯灰熊,-5.5,输

底特律活塞,休斯顿火箭,1.5,输

密尔沃基雄鹿,奥兰多魔术,-5.5,输

明尼苏达森林狼,波士顿凯尔特人,1.5,输

圣安东尼奥马刺,达拉斯独行侠,-15.5,输

洛杉矶快船,多伦多猛龙,-8.5,输

纽约尼克斯,波特兰开拓者,-1.5,赢

亚特兰大老鹰,新奥尔良鹈鹕,-8.5,输

丹佛掘金,芝加哥公牛,2.5,赢

洛杉矶湖人,俄克拉荷马雷霆,2.5,赢

克里夫兰骑士,波特兰开拓者,-11.5,赢

奥兰多魔术,菲尼克斯太阳,-4.5,输

印第安纳步行者,亚特兰大老鹰,1.5,输

费城76人,孟菲斯灰熊,5.5,赢

夏洛特黄蜂,圣安东尼奥马刺,4.5,输

布鲁克林篮网队,波士顿凯尔特人,7.5,输

底特律活塞,迈阿密热火,-4.5,赢

休斯顿火箭,多伦多猛龙,-3.5,输

达拉斯独行侠,洛杉矶快船,9.5,输

犹他爵士,丹佛掘金,-6.5,赢

新奥尔良鹈鹕,明尼苏达森林狼,2.5,赢

