host,guest,odds,result
亚特兰大老鹰,圣安东尼奥马刺,4.5,赢

明尼苏达森林狼,波特兰开拓者,-5.5,输

洛杉矶湖人,多伦多猛龙,8.5,输

密尔沃基雄鹿,俄克拉荷马雷霆,-1.5,赢

克里夫兰骑士,新奥尔良鹈鹕,-9.5,输

纽约尼克斯,奥兰多魔术,-4.5,输

布鲁克林篮网队,犹他爵士,6.5,输

休斯顿火箭,华盛顿奇才,-8.5,赢

芝加哥公牛,夏洛特黄蜂,1.5,赢

洛杉矶快船,菲尼克斯太阳,-4.5,赢

金州勇士,丹佛掘金,-14.5,输

费城76人,明尼苏达森林狼,3.5,赢

波士顿凯尔特人,犹他爵士,-5.5,赢

底特律活塞,印第安纳步行者,-5.5,输

圣安东尼奥马刺,多伦多猛龙,-5.5,赢

达拉斯独行侠,华盛顿奇才,-1.5,赢

丹佛掘金,萨克拉门托国王,-2.5,输

菲尼克斯太阳,迈阿密热火,-5.5,赢

